"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\API_SETUP.md", "Markdown", 0, 0, 0, 369, 0, 0, 0, 0, 126, 495
"d:\wamp\www\Supply\ASSETS_INVENTORY.md", "Markdown", 0, 0, 0, 360, 0, 0, 0, 6, 72, 438
"d:\wamp\www\Supply\DEPLOYMENT.md", "Markdown", 0, 0, 0, 296, 0, 0, 0, 0, 73, 369
"d:\wamp\www\Supply\DESIGN.md", "Markdown", 0, 0, 0, 313, 0, 0, 0, 8, 72, 393
"d:\wamp\www\Supply\GUIDE_IMAGES_AFFICHAGE.md", "Markdown", 0, 0, 0, 136, 0, 0, 0, 4, 40, 180
"d:\wamp\www\Supply\IMPLEMENTATION.md", "Markdown", 0, 0, 0, 298, 0, 0, 0, 1, 82, 381
"d:\wamp\www\Supply\NAVIGATION_UX_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 132, 0, 0, 0, 2, 49, 183
"d:\wamp\www\Supply\README.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 21, 60
"d:\wamp\www\Supply\SYNTHESE_IMAGES_INTEGREES.md", "Markdown", 0, 0, 0, 196, 0, 0, 0, 3, 52, 251
"d:\wamp\www\Supply\app\Console\Commands\ResetUserPassword.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 13, 11, 51
"d:\wamp\www\Supply\app\Http\Controllers\Api\DeliveryLocationController.php", "PHP", 0, 196, 0, 0, 0, 0, 0, 22, 21, 239
"d:\wamp\www\Supply\app\Http\Controllers\Api\LocationController.php", "PHP", 0, 126, 0, 0, 0, 0, 0, 19, 20, 165
"d:\wamp\www\Supply\app\Http\Controllers\Api\OrderValidationController.php", "PHP", 0, 189, 0, 0, 0, 0, 0, 22, 24, 235
"d:\wamp\www\Supply\app\Http\Controllers\Api\PaymentCinemaController.php", "PHP", 0, 280, 0, 0, 0, 0, 0, 58, 54, 392
"d:\wamp\www\Supply\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 10, 12, 53
"d:\wamp\www\Supply\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 6, 7, 41
"d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationCodeController.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 19, 25, 117
"d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 3, 6, 25
"d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 3, 4, 22
"d:\wamp\www\Supply\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 14, 8, 63
"d:\wamp\www\Supply\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"d:\wamp\www\Supply\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 11, 7, 45
"d:\wamp\www\Supply\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 21, 19, 131
"d:\wamp\www\Supply\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 3, 6, 28
"d:\wamp\www\Supply\app\Http\Controllers\AvisController.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 14, 11, 84
"d:\wamp\www\Supply\app\Http\Controllers\ClientDashboardController.php", "PHP", 0, 102, 0, 0, 0, 0, 0, 31, 28, 161
"d:\wamp\www\Supply\app\Http\Controllers\CommandeController.php", "PHP", 0, 324, 0, 0, 0, 0, 0, 74, 85, 483
"d:\wamp\www\Supply\app\Http\Controllers\Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"d:\wamp\www\Supply\app\Http\Controllers\FavoriteController.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 5, 14, 71
"d:\wamp\www\Supply\app\Http\Controllers\MessageController.php", "PHP", 0, 188, 0, 0, 0, 0, 0, 35, 31, 254
"d:\wamp\www\Supply\app\Http\Controllers\PanierController.php", "PHP", 0, 140, 0, 0, 0, 0, 0, 25, 26, 191
"d:\wamp\www\Supply\app\Http\Controllers\ProduitController.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 14, 16, 106
"d:\wamp\www\Supply\app\Http\Controllers\ProfileController.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 15, 18, 80
"d:\wamp\www\Supply\app\Http\Controllers\SearchController.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 10, 12, 91
"d:\wamp\www\Supply\app\Http\Controllers\ValidationController.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 23, 25, 130
"d:\wamp\www\Supply\app\Http\Controllers\VendeurProduitController.php", "PHP", 0, 695, 0, 0, 0, 0, 0, 133, 148, 976
"d:\wamp\www\Supply\app\Http\Controllers\Vendeur\EspaceVendeurController.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 17, 18, 103
"d:\wamp\www\Supply\app\Http\Controllers\Vendeur\StockController.php", "PHP", 0, 92, 0, 0, 0, 0, 0, 17, 26, 135
"d:\wamp\www\Supply\app\Http\Controllers\VendorStatisticsController.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 16, 20, 160
"d:\wamp\www\Supply\app\Http\Middleware\LogSecurityEvents.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 10, 12, 73
"d:\wamp\www\Supply\app\Http\Middleware\VendeurMiddleware.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 5, 25
"d:\wamp\www\Supply\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 21, 14, 86
"d:\wamp\www\Supply\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 5, 4, 31
"d:\wamp\www\Supply\app\Listeners\SendWelcomeEmail.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 7, 6, 32
