"filename", "language", "Markdown", "PHP", "JSON", "JavaScript", "comment", "blank", "total"
"d:\wamp\www\Supply\ADMIN_GUIDE.md", "Markdown", 217, 0, 0, 0, 0, 49, 266
"d:\wamp\www\Supply\ADMIN_ROLE_GUIDE.md", "Markdown", 242, 0, 0, 0, 0, 80, 322
"d:\wamp\www\Supply\ADMIN_SETUP.md", "Markdown", 304, 0, 0, 0, 0, 73, 377
"d:\wamp\www\Supply\README_ADMIN.md", "Markdown", 344, 0, 0, 0, 0, 80, 424
"d:\wamp\www\Supply\WEBSOCKET_SETUP.md", "Markdown", 187, 0, 0, 0, 0, 44, 231
"d:\wamp\www\Supply\app\Console\Commands\CreateAdminCommand.php", "PHP", 0, 38, 0, 0, 4, 10, 52
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminAuditController.php", "PHP", 0, 264, 0, 0, 48, 58, 370
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminCategoryController.php", "PHP", 0, 163, 0, 0, 40, 42, 245
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminConfigurationController.php", "PHP", 0, 95, 0, 0, 23, 25, 143
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminDashboardController.php", "PHP", 0, 156, 0, 0, 19, 26, 201
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminDisputeController.php", "PHP", 0, 91, 0, 0, 21, 25, 137
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminModeController.php", "PHP", 0, 34, 0, 0, 18, 10, 62
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminOrderController.php", "PHP", 0, 108, 0, 0, 25, 32, 165
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminProductController.php", "PHP", 0, 135, 0, 0, 31, 33, 199
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminReportController.php", "PHP", 0, 196, 0, 0, 26, 40, 262
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminUserController.php", "PHP", 0, 154, 0, 0, 34, 39, 227
"d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminVendorController.php", "PHP", 0, 143, 0, 0, 31, 34, 208
